"0","1"
"Devonta Freeman","23.75"
"Matt Forte","21.76"
"Le'Veon Bell","20.98"
"Adrian Peterson","18.68"
"Arian Foster","19.73"
"Eddie Lacy","16.54"
"Marshawn Lynch","15.67"
"Mark Ingram","16.71"
"DeMarco Murray","16.4"
"LeSean McCoy","15.17"
"Carlos Hyde","14.31"
"Lamar Miller","13.55"
"Giovani Bernard","14.14"
"Frank Gore","13.82"
"LeGarrette Blount","11.3"
"Dion Lewis","15.05"
"C.J. Anderson","11.34"
"Justin Forsett","13.58"
"Chris Ivory","11.66"
"Ronnie Hillman","10.92"
"Alfred Morris","11.33"
"Charcandrick West","12.2"
"Danny Woodhead","12.88"
"Chris Johnson","9.8"
"Melvin Gordon","10.88"
"Javorius Allen","10.11"
"Ameer Abdullah","10.68"
"Jonathan Stewart","9.48"
"Denard Robinson","10.8"
"Antonio Andrews","8.06"
"Duke Johnson Jr.","11.62"
"Jeremy Hill","8.44"
"Chris Thompson","10.45"
"Rashad Jennings","9.19"
"Shane Vereen","9.6"
"Zach Zenner","7.63"
"Toby Gerhart","8.43"
"C.J. Spiller","10.52"
"James Starks","7.07"
"Bilal Powell","8.5"
