"0","1"
"Marquess Wilson","4.48"
"Brian Hartline","5.32"
"Markus Wheaton","4.77"
"Chris Givens","4.08"
"Taylor Gabriel","4.79"
"Josh Huff","4.05"
"Dorial Green-Beckham","3"
"DeVante Parker","3.34"
"Devin Funchess","3.81"
"Greg Jennings","3.13"
"Joseph Morgan","3.24"
"Corey Brown","4.11"
"Nick Williams","2.47"
"Jaelen Strong","3.52"
"Albert Wilson","4.15"
"Quincy Enunwa","3.05"
"Darrius Heyward-Bey","2.57"
"Chris Conley","3.37"
"Bennie Fowler","3.28"
"Bruce Ellington","2.1"
"Rashad Ross","3.07"
"Quinton Patton","3.91"
"Jeremy Ross","1.46"
"Cordarrelle Patterson","1.22"
"Jacoby Jones","0.77"
"TJ Jones","0.25"
"Jaron Brown","1.12"
"Aaron Dobson","1.21"
"Griff Whalen","0.25"
"Jeremy Kerley","0.43"
"Andre Caldwell","0.99"
"Chris Matthews","1.37"
"Adam Thielen","1.21"
"Marc Mariani","0"
"Marquise Goodwin","1.18"
"Eric Weems","0"
"Geremy Davis","1.17"
"Jason Avant","1.17"
"Brandon Tate","0.24"
"Jeff Janis","0.48"
